root | manejo_posicion | 701 | INFO | 2023-04-10 18:43:08,933 | == CONTRATOS EN MANO 0 ==
root | manejo_posicion | 705 | INFO | 2023-04-10 18:43:08,933 | == Comprado? False ==
root | manejo_posicion | 709 | INFO | 2023-04-10 18:43:08,933 | == RSI_ACTUAL 61.52162118934292 ==
root | manejo_posicion | 713 | INFO | 2023-04-10 18:43:08,933 | == RSI_STOPLOSS 25 ==
root | manejo_posicion | 717 | INFO | 2023-04-10 18:43:08,933 | == RSI_TARGET1 55 ==
root | manejo_posicion | 721 | INFO | 2023-04-10 18:43:08,933 | == RSI_TARGET2 60 ==
root | manejo_posicion | 725 | INFO | 2023-04-10 18:43:08,933 | == RSI_TARGET3 65 ==
root | manejo_posicion | 818 | INFO | 2023-04-10 18:43:08,933 | == STOP LOSS 25 ==
root | market_data_quote_crypto | 476 | INFO | 2023-04-10 18:43:11,472 | BTC/USD@29282
root | market_data_quote_crypto | 476 | INFO | 2023-04-10 18:43:14,526 | BTC/USD@29290.7261
root | estrategia_RSI | 421 | INFO | 2023-04-10 18:43:14,530 |  HOLD or WAIT RSI
root | manejo_posicion | 699 | INFO | 2023-04-10 18:43:14,530 | == UPDATE POSICION ==
root | manejo_posicion | 701 | INFO | 2023-04-10 18:43:14,531 | == CONTRATOS EN MANO 0 ==
root | manejo_posicion | 705 | INFO | 2023-04-10 18:43:14,531 | == Comprado? False ==
root | manejo_posicion | 709 | INFO | 2023-04-10 18:43:14,531 | == RSI_ACTUAL 61.52162118934292 ==
root | manejo_posicion | 713 | INFO | 2023-04-10 18:43:14,531 | == RSI_STOPLOSS 25 ==
root | manejo_posicion | 717 | INFO | 2023-04-10 18:43:14,531 | == RSI_TARGET1 55 ==
root | manejo_posicion | 721 | INFO | 2023-04-10 18:43:14,531 | == RSI_TARGET2 60 ==
root | manejo_posicion | 725 | INFO | 2023-04-10 18:43:14,531 | == RSI_TARGET3 65 ==
root | manejo_posicion | 818 | INFO | 2023-04-10 18:43:14,531 | == STOP LOSS 25 ==
root | market_data_quote_crypto | 476 | INFO | 2023-04-10 18:43:17,065 | BTC/USD@29290.7261
root | market_data_quote_crypto | 476 | INFO | 2023-04-10 18:43:20,126 | BTC/USD@29280.8
root | estrategia_RSI | 421 | INFO | 2023-04-10 18:43:20,132 |  HOLD or WAIT RSI
root | manejo_posicion | 699 | INFO | 2023-04-10 18:43:20,132 | == UPDATE POSICION ==
root | manejo_posicion | 701 | INFO | 2023-04-10 18:43:20,132 | == CONTRATOS EN MANO 0 ==
root | manejo_posicion | 705 | INFO | 2023-04-10 18:43:20,132 | == Comprado? False ==
root | manejo_posicion | 709 | INFO | 2023-04-10 18:43:20,133 | == RSI_ACTUAL 61.52162118934292 ==
root | manejo_posicion | 713 | INFO | 2023-04-10 18:43:20,133 | == RSI_STOPLOSS 25 ==
